Category,Al Barid Bank,Attijariwafa Bank,Banque Populaire,Bmce Bank Of Africa,Bmci,CIH Bank,Cfg Bank,Cih Bank,Crédit Agricole,Crédit Du Maroc,Saham Bank
Attente / Lenteur,17.2,11.1,12.1,12.5,9.6,23.3,18.5,21.2,7.4,12.3,11.7
Service injoignable,2.0,15.6,12.4,11.8,16.9,0.0,7.9,5.5,7.4,9.9,17.9
Réclamations ignorées,1.4,4.4,4.0,4.3,8.5,6.7,6.5,3.9,2.0,6.2,6.0
Incidents techniques,5.8,6.7,5.6,8.0,9.3,21.7,5.6,11.4,4.9,7.8,10.0
Frais Abusifs,1.9,1.5,1.6,1.4,3.5,0.0,3.7,0.7,1.5,2.4,3.9
Satisfaction générique,13.6,12.8,11.9,12.7,13.6,21.7,3.7,23.0,7.9,15.0,14.1
Attitude négative,17.2,24.6,22.2,23.2,20.4,35.0,30.6,30.6,8.9,18.1,22.1
