business,weighted_avg,volume,score
Banque Populaire,2.539661898569571,2307,0.6237049207044447
Attijariwafa Bank,2.247578692493947,1652,0.5712553126667743
Cih Bank,1.7604076697184314,5789,0.5464570737605804
